year	month	right_total	control_total	right_rep	control_rep	right_dem	control_dem	right_ind	control_ind
1993	5	35	57	45	47	25	65	38	56
1999	5	30	65	42	53	19	76	33	63
1999	6	33	62	45	50	21	75	34	61
2000	3	29	67	40	55	19	77	28	68
2000	4	37	55	51	41	28	64	34	60
2000	5	38	57	50	46	27	67	41	56
2003	6	42	54	58	38	29	68	40	56
2004	2	37	58	52	44	25	70	37	59
2007	4	32	59	50	45	19	73	33	59
2007	11	42	54	55	42	28	71	44	53
2008	4	38	58	59	38	23	73	39	56
2009	4	45	49	65	31	26	69	48	45
2010	3	46	46	65	30	30	62	53	41
2010	9	46	50	70	26	30	67	46	50
2011	1	49	46	72	22	26	70	52	44
2011	3	48	47	66	30	29	65	54	42
2011	10	47	49	68	30	27	68	51	45
2012	4	49	45	72	23	27	67	55	40
2012	7	46	47	71	26	21	72	50	43
2012	12	42	49	69	27	20	72	47	42
2013	1	45	51	70	27	22	73	49	47
2013	2	46	50	74	24	22	73	50	47
2013	5	48	50	75	24	24	74	51	47
2014	2	49	48	76	22	28	69	53	46
2014	12	52	46	76	22	28	69	56	42
2015	7	47	50	71	26	25	73	51	46
2016	8	52	46	82	17	22	75	56	42
